iteration,x_1,x_2,x_3,x_4,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,0.5288584232330322,-0.24989283084869385,-0.8498306274414062,0.06156432628631592,0.9240318536758423,0.7896198630332947,1.4142136573791504,0.2240392118692398,0.0,1.0,4.031669,1.8719985,False,False
1,0.5280303359031677,-0.24963048100471497,-0.8487282395362854,0.06139057129621506,0.923783540725708,0.7890853881835938,1.4142135381698608,0.2244819849729538,0.0,1.0,4.0238047,1.8700426,False,False
2,0.5272021889686584,-0.24936819076538086,-0.8476259112358093,0.061216749250888824,0.9235347509384155,0.7885503768920898,1.4142134189605713,0.22492393851280212,0.0,1.0,4.015982,1.8680993,False,False
3,0.5263739824295044,-0.24910596013069153,-0.846523642539978,0.06104286387562752,0.9232854843139648,0.7880148887634277,1.4142134189605713,0.22536516189575195,0.0,1.0000001192092896,4.0081987,1.8661695,False,False
4,0.5255457162857056,-0.24884378910064697,-0.8454213738441467,0.06086891517043114,0.923035740852356,0.7874788045883179,1.4142135381698608,0.2258056402206421,0.0,1.0,4.0004554,1.8642524,False,False
5,0.5247173309326172,-0.2485816776752472,-0.8443191647529602,0.060694899410009384,0.9227855205535889,0.7869420647621155,1.4142136573791504,0.22624535858631134,0.0,0.9999998807907104,3.9927514,1.8623478,False,False
6,0.523888885974884,-0.2483196258544922,-0.8432170152664185,0.06052082031965256,0.9225348234176636,0.7864048480987549,1.4142134189605713,0.22668424248695374,0.0,1.0000001192092896,3.9850879,1.8604562,False,False
7,0.5230603814125061,-0.24805763363838196,-0.8421149253845215,0.06034667417407036,0.9222836494445801,0.7858670949935913,1.4142136573791504,0.22712235152721405,0.0,1.0,3.9774632,1.8585775,False,False
8,0.5222318172454834,-0.2477957010269165,-0.8410128951072693,0.060172464698553085,0.9220319986343384,0.7853288650512695,1.4142135381698608,0.2275596261024475,0.0,1.0000001192092896,3.969879,1.8567116,False,False
9,0.5214031934738159,-0.24753382802009583,-0.8399109244346619,0.05999818816781044,0.9217798113822937,0.7847900390625,1.4142135381698608,0.22799615561962128,0.0,1.0000001192092896,3.9623322,1.8548588,False,False
10,0.5205744504928589,-0.24727201461791992,-0.8388089537620544,0.05982384830713272,0.9215272068977356,0.7842506170272827,1.4142135381698608,0.2284318059682846,0.0,1.0000001192092896,3.9548259,1.853018,False,False
11,0.5197456479072571,-0.2470102608203888,-0.8377070426940918,0.05964944139122963,0.9212741255760193,0.7837107181549072,1.4142134189605713,0.22886665165424347,0.0,1.0000001192092896,3.9473577,1.8511904,False,False
12,0.5189167857170105,-0.24674856662750244,-0.8366051912307739,0.059474967420101166,0.9210205078125,0.7831703424453735,1.4142135381698608,0.22930069267749786,0.0,1.0000001192092896,3.9399276,1.8493756,False,False
13,0.5180878639221191,-0.24648693203926086,-0.8355033993721008,0.05930043011903763,0.9207664132118225,0.7826293706893921,1.4142135381698608,0.2297339141368866,0.0,1.0000001192092896,3.932536,1.8475732,False,False
14,0.5172588229179382,-0.24622535705566406,-0.8344016671180725,0.05912582576274872,0.9205118417739868,0.7820878624916077,1.4142135381698608,0.2301662564277649,7.300048565639372e-08,1.0000001192092896,3.9251828,1.8457836,False,False
15,0.5164297223091125,-0.24596385657787323,-0.833299994468689,0.058951154351234436,0.9202569127082825,0.7815457582473755,1.4142135381698608,0.2305976152420044,1.365714012990793e-07,1.000000238418579,3.9178708,1.8440058,False,False
16,0.5156005620956421,-0.24570241570472717,-0.8321983814239502,0.05877641588449478,0.9200013875961304,0.7810032963752747,1.4142135381698608,0.23102818429470062,0.0,1.0,3.9105952,1.8422418,False,False
17,0.5147713422775269,-0.2454410344362259,-0.8310968279838562,0.058601610362529755,0.9197454452514648,0.7804602384567261,1.4142135381698608,0.23145784437656403,7.300048565639372e-08,1.0000001192092896,3.903358,1.8404899,False,False
18,0.5139420032501221,-0.24517971277236938,-0.8299952745437622,0.058426737785339355,0.9194890260696411,0.7799167037010193,1.4142136573791504,0.23188668489456177,6.664001972467304e-08,1.0,3.896157,1.8387507,False,False
19,0.5131126046180725,-0.24491845071315765,-0.828893780708313,0.058251798152923584,0.9192321300506592,0.7793725728988647,1.4142135381698608,0.2323145568370819,0.0,1.0000001192092896,3.8889956,1.8370235,False,False
20,0.5122831463813782,-0.2446572482585907,-0.8277923464775085,0.05807679146528244,0.9189746975898743,0.7788280248641968,1.4142135381698608,0.2327415496110916,7.300048565639372e-08,1.000000238418579,3.881871,1.8353094,False,False
