iteration,x_1,x_2,x_3,x_4,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,0.5288584232330322,-0.24989283084869385,-0.8498306274414062,0.06156432628631592,0.9240318536758423,0.7896198630332947,0.29333661011809137,0.2240392118692398,1.0564399223793549e-06,0.9999999786972086,0.500004269663351,0.5000002717633207,False,False
1,0.5286397933959961,-0.24988847970962524,-0.849654495716095,0.061479490250349045,0.9239999055862427,0.7894797325134277,0.2934345954281644,0.22409845888614655,1.0969855979481454e-06,1.0000000879290585,0.5000044093296655,0.5000002761049923,False,False
2,0.5284210443496704,-0.24988414347171783,-0.8494783043861389,0.06139461696147919,0.9239679574966431,0.7893393635749817,0.2935326495873247,0.22415773570537567,1.1212207886623704e-06,1.0000000193209915,0.50000455463492,0.500000280537809,False,False
3,0.5282022356987,-0.24987982213497162,-0.8493020534515381,0.061309702694416046,0.9239360094070435,0.7891989946365356,0.29363064496039476,0.22421693801879883,1.1569497312239074e-06,1.0000000532968103,0.5000047058655492,0.5000002850637716,False,False
4,0.5279833674430847,-0.2498755156993866,-0.8491258025169373,0.06122474744915962,0.9239040613174438,0.7890584468841553,0.2937286400387334,0.22427605092525482,1.1969041657736798e-06,1.0000000317709639,0.5000048632997157,0.5000002896838596,False,False
5,0.5277643799781799,-0.24987120926380157,-0.8489494919776917,0.061139751225709915,0.9238721132278442,0.7889177799224854,0.2938267066123335,0.224335178732872,1.243500802721114e-06,0.9999999235937054,0.5000050273621028,0.5000002944030187,False,False
6,0.5275453329086304,-0.24986691772937775,-0.8487731218338013,0.061054714024066925,0.9238401651382446,0.7887770533561707,0.2939246917134111,0.2243942767381668,1.292964711374917e-06,1.0000000096413613,0.5000051983268239,0.5000002992212513,False,False
7,0.5273261666297913,-0.2498626410961151,-0.8485967516899109,0.06096963584423065,0.923808217048645,0.7886361479759216,0.2940227424438638,0.224453404545784,1.3288238535460568e-06,1.0000000128148534,0.5000053765839805,0.5000003041406004,False,False
8,0.5271069407463074,-0.24985837936401367,-0.8484203219413757,0.060884516686201096,0.9237762689590454,0.7884952425956726,0.29412069263356116,0.22451239824295044,1.3742938959401641e-06,0.9999999297365296,0.5000055625961989,0.5000003091648544,False,False
9,0.5268876552581787,-0.24985413253307343,-0.8482438325881958,0.060799360275268555,0.923744261264801,0.7883541584014893,0.29421872317220693,0.22457149624824524,1.4239500773847053e-06,1.0000000875956387,0.5000057567438205,0.5000003142948936,False,False
