iteration,x_1,x_2,x_3,x_4,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,-0.7766714096069336,0.6316862106323242,-0.4748760461807251,-0.03224480152130127,0.9439156651496887,0.793341338634491,0.18421517312526703,0.18421517312526703,0.0,1.0,0.90983963,0.09016035,False,False
1,-0.7765308022499084,0.6316305994987488,-0.474777489900589,-0.0322079136967659,0.9438817501068115,0.7933074235916138,0.18429362773895264,0.18429362773895264,0.0,1.0,0.90971494,0.09028506,False,False
2,-0.7763901352882385,0.6315749287605286,-0.4746789038181305,-0.03217103332281113,0.9438477754592896,0.7932734489440918,0.18437214195728302,0.18437214195728302,0.0,1.0000001192092896,0.90959024,0.090409756,False,False
3,-0.7762494087219238,0.6315191984176636,-0.4745802879333496,-0.03213416039943695,0.9438137412071228,0.7932394742965698,0.18445070087909698,0.18445070087909698,0.0,1.0000001192092896,0.90946513,0.090534866,False,False
4,-0.7761086225509644,0.6314634084701538,-0.47448164224624634,-0.03209729120135307,0.943779706954956,0.7932054996490479,0.18452925980091095,0.18452925980091095,0.0,0.9999998807907104,0.90934014,0.09065986,False,False
5,-0.7759677767753601,0.6314075589179993,-0.4743829667568207,-0.03206042945384979,0.9437456727027893,0.7931714057922363,0.18460780382156372,0.18460780382156372,0.0,1.0,0.90921515,0.09078486,False,False
6,-0.7758268713951111,0.6313516497612,-0.47428426146507263,-0.03202357515692711,0.9437115788459778,0.7931373715400696,0.18468645215034485,0.18468645215034485,0.0,1.0,0.9090899,0.09091011,False,False
7,-0.7756859064102173,0.6312956809997559,-0.4741855263710022,-0.03198672831058502,0.9436774253845215,0.7931032180786133,0.18476518988609314,0.18476518988609314,0.0,1.0000001192092896,0.9089645,0.091035485,False,False
8,-0.7755448818206787,0.6312395930290222,-0.4740867614746094,-0.03194988891482353,0.94364333152771,0.7930691242218018,0.18484382331371307,0.18484382331371307,0.0,1.0000001192092896,0.90883917,0.091160834,False,False
9,-0.7754037976264954,0.6311834454536438,-0.47398796677589417,-0.03191305696964264,0.9436091184616089,0.7930349111557007,0.18492256104946136,0.18492256104946136,0.0,0.9999998807907104,0.9087137,0.09128627,False,False
10,-0.7752626538276672,0.6311272382736206,-0.47388914227485657,-0.031876228749752045,0.9435749053955078,0.7930006980895996,0.18500138819217682,0.18500138819217682,0.0,1.0000001192092896,0.90858805,0.09141195,False,False
11,-0.7751214504241943,0.6310709714889526,-0.4737902879714966,-0.03183940798044205,0.9435406923294067,0.7929664850234985,0.1850801408290863,0.1850801408290863,0.0,1.0,0.9084624,0.091537595,False,False
12,-0.7749802470207214,0.6310146450996399,-0.4736913740634918,-0.031802594661712646,0.9435064196586609,0.7929322123527527,0.1851588934659958,0.1851588934659958,0.0,1.0,0.9083368,0.0916632,False,False
13,-0.7748389840126038,0.6309582591056824,-0.4735924303531647,-0.03176578879356384,0.943472146987915,0.7928979992866516,0.18523775041103363,0.18523775041103363,0.0,1.0000001192092896,0.9082109,0.09178913,False,False
14,-0.7746976613998413,0.6309018135070801,-0.47349345684051514,-0.031728990375995636,0.9434378147125244,0.792863667011261,0.18531665205955505,0.18531665205955505,0.0,1.0,0.9080851,0.0919149,False,False
15,-0.7745562791824341,0.630845308303833,-0.4733944535255432,-0.031692199409008026,0.9434034824371338,0.7928293347358704,0.18539555370807648,0.18539555370807648,0.0,1.0000001192092896,0.907959,0.092041045,False,False
16,-0.7744148373603821,0.6307887434959412,-0.4732954204082489,-0.03165541589260101,0.9433690905570984,0.7927950024604797,0.18547451496124268,0.18547451496124268,9.125060707049215e-09,1.0,0.9078328,0.09216723,False,False
17,-0.7742733359336853,0.6307321190834045,-0.4731963574886322,-0.0316186398267746,0.943334698677063,0.7927605509757996,0.1855534315109253,0.1855534315109253,0.0,1.0,0.90770674,0.09229329,False,False
18,-0.7741317749023438,0.6306754350662231,-0.4730972647666931,-0.03158186748623848,0.9433002471923828,0.7927261590957642,0.18563240766525269,0.18563240766525269,1.7473160696113155e-08,1.0000001192092896,0.90758044,0.092419595,False,False
19,-0.7739901542663574,0.630618691444397,-0.47299814224243164,-0.03154510259628296,0.9432657957077026,0.792691707611084,0.18571147322654724,0.18571147322654724,0.0,1.0,0.9074539,0.092546076,False,False
20,-0.7738484740257263,0.630561888217926,-0.4728989899158478,-0.031508345156908035,0.9432312846183777,0.792657196521759,0.18579047918319702,0.18579047918319702,0.0,1.0,0.9073276,0.09267242,False,False
21,-0.7737067341804504,0.6305049657821655,-0.47279980778694153,-0.03147159516811371,0.9431967735290527,0.7926227450370789,0.18586960434913635,0.18586960434913635,0.0,1.0000001192092896,0.9072009,0.092799105,False,False
22,-0.7735649347305298,0.6304479837417603,-0.4727005958557129,-0.03143485262989998,0.943162202835083,0.7925881743431091,0.1859487146139145,0.1859487146139145,0.0,1.0000001192092896,0.9070743,0.09292574,False,False
23,-0.7734230756759644,0.6303909420967102,-0.47260135412216187,-0.031398117542266846,0.9431276321411133,0.7925535440444946,0.1860278844833374,0.1860278844833374,0.0,1.0000001192092896,0.90694755,0.09305245,False,False
