iteration,x_1,x_2,x_3,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,2.932525634765625,2.039529323577881,2.2282707691192627,0.9914867877960205,0.7683743238449097,2.3165102005004883,1.6559826135635376,1.073297426046338e-06,1.0000001192092896,0.5000000016014776,0.5000004795668597,False,False
1,2.934391736984253,2.0381650924682617,2.228119134902954,0.9811382293701172,0.7679923176765442,2.3153011798858643,1.6486283540725708,1.2812399745598668e-06,1.0,0.5000000015989616,0.500000587098413,False,False
2,2.936250686645508,2.0367934703826904,2.227966547012329,0.9707778692245483,0.7676352262496948,2.314120292663574,1.641411542892456,1.5966509181453148e-06,1.0000001192092896,0.5000000015961616,0.5000007284746749,False,False
3,2.9381024837493896,2.035414218902588,2.2278130054473877,0.960403561592102,0.767301082611084,2.3129656314849854,1.634333848953247,1.9842618712573312e-06,1.0,0.5000000015930947,0.500000915790021,False,False
4,2.9399471282958984,2.034027576446533,2.227658271789551,0.9500174522399902,0.7669911980628967,2.3118410110473633,1.6274012327194214,2.5484471279924037e-06,1.0000001192092896,0.5000000015897855,0.5000011645475295,False,False
5,2.941784620285034,2.0326333045959473,2.2275025844573975,0.9396185278892517,0.7667034864425659,2.3107454776763916,1.6206175088882446,3.216580580556183e-06,1.0000001192092896,0.5000000015862531,0.5000014944672747,False,False
6,2.943614959716797,2.03123140335083,2.2273457050323486,0.9292067885398865,0.7664377093315125,2.309680461883545,1.6139863729476929,4.149378128204262e-06,1.0000001192092896,0.5000000015825199,0.5000019301328945,False,False
7,2.9454379081726074,2.0298221111297607,2.2271876335144043,0.9187841415405273,0.7661940455436707,2.308647632598877,1.6075130701065063,5.353500000637723e-06,1.0000001192092896,0.5000000015786116,0.5000025020026502,False,False
8,2.947253704071045,2.02840518951416,2.2270286083221436,0.908350944519043,0.7659703493118286,2.3076467514038086,1.6012037992477417,7.004243343544658e-06,1.0000001192092896,0.5000000016263672,0.5000032784311061,False,False
9,2.9490621089935303,2.0269806385040283,2.2268683910369873,0.8979045748710632,0.7657673358917236,2.306678533554077,1.5950589179992676,1.006070124276448e-05,0.9999998807907104,0.5000000023452235,0.5000047201911534,False,False
10,2.9508631229400635,2.0255484580993652,2.2267072200775146,0.887448787689209,0.7655833959579468,2.3057444095611572,1.5890867710113525,1.4409322830033489e-05,0.9999998807907104,0.5000000032802775,0.5000067796015123,False,False
11,2.9526567459106445,2.024108648300171,2.2265448570251465,0.8769837021827698,0.765418291091919,2.304844379425049,1.5832911729812622,2.07995435630437e-05,0.9999998807907104,0.5000000044467999,0.5000098222131499,False,False
12,2.9544429779052734,2.0226612091064453,2.226381301879883,0.8665077686309814,0.7652717232704163,2.303976535797119,1.5776727199554443,3.0785613489570096e-05,1.0,0.5000000058397327,0.5000145875010532,False,False
13,2.95622181892395,2.0212061405181885,2.2262165546417236,0.856021523475647,0.7651424407958984,2.3031392097473145,1.5722373723983765,4.743498357129283e-05,0.9999998807907104,0.5000000074254463,0.500022552485885,False,False
14,2.9579930305480957,2.0197434425354004,2.226050853729248,0.8455272912979126,0.765029788017273,2.30240797996521,1.5669893026351929,7.545345397375058e-07,0.9999998807907104,0.5000000000914119,0.5000003649733056,False,False
15,2.959756851196289,2.018273115158081,2.225883960723877,0.8350238800048828,0.7649334669113159,2.301665782928467,1.5619324445724487,1.3072319688944845e-06,1.0,0.5000000001089836,0.5000006119462169,False,False
16,2.9615132808685303,2.0167949199676514,2.2257158756256104,0.8245106935501099,0.7648522853851318,2.300962448120117,1.5570701360702515,2.910269586209324e-06,0.9999998807907104,0.5000000002540557,0.5000013976042353,False,False
17,2.9632620811462402,2.0153090953826904,2.2255465984344482,0.8139890432357788,0.7647860646247864,2.300297975540161,1.5524059534072876,6.622556156798964e-06,1.0,0.5000000005413845,0.5000031792061976,False,False
18,2.965003252029419,2.0138156414031982,2.2253761291503906,0.8034600615501404,0.7647337913513184,2.2996673583984375,1.5479423999786377,1.6688296454958618e-05,0.9999998807907104,0.5000000009923282,0.5000080291918769,False,False
19,2.9667367935180664,2.012314558029175,2.2252044677734375,0.7929232120513916,0.7646951079368591,2.2990477085113525,1.543683409690857,5.4348311095964164e-05,1.0,0.5000000016746825,0.5000262402295353,False,False
20,2.9684629440307617,2.01080584526062,2.225031614303589,0.782379150390625,0.7646691203117371,2.2985682487487793,1.539631962776184,3.956532054871786e-06,0.9999998211860657,0.5000000001055224,0.5000019109805266,False,False
21,2.970181465148926,2.009289264678955,2.2248575687408447,0.7718273401260376,0.7646550536155701,2.297945499420166,1.5357915163040161,0.00012178353790659457,1.0,0.5000000014539977,0.500059060394846,False,False
22,2.9718921184539795,2.007765054702759,2.224682331085205,0.7612702250480652,0.7646521329879761,2.2951934337615967,1.5321662425994873,0.0003726398281287402,1.0,0.5000000034696409,0.501062426508706,False,False
23,2.9735937118530273,2.006234645843506,2.224508285522461,0.7507204413414001,0.7646552920341492,2.2897181510925293,1.5287690162658691,1.031216379487887e-05,1.0000001192092896,0.5000000001701546,0.503274450619695,False,False
24,2.9752845764160156,2.004700183868408,2.2243378162384033,0.7401981353759766,0.76465904712677,2.2841131687164307,1.5256164073944092,0.00015696736227255315,1.0,0.5000000050408934,0.5055677911560378,False,False
25,2.9769644737243652,2.003161668777466,2.2241711616516113,0.7297031283378601,0.7646623253822327,2.2792444229125977,1.5227115154266357,4.2000516259577125e-05,1.0000001192092896,0.500000001387463,0.5075623135659514,False,False
