iteration,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,0.6322146058082581,0.43752679228782654,0.28754234313964844,0.5153911113739014,0.7330136299133301,0.3884930908679962,0.418613463640213,0.69550621509552,0.4652136266231537,0.40451666712760925,0.44964611530303955,0.5091547966003418,0.296332448720932,0.42855316400527954,0.7424129247665405,0.44640716910362244,0.7277060747146606,0.40240058302879333,0.3994412124156952,0.42548295855522156,0.27646854519844055,0.34941917657852173,0.6510884761810303,0.3124506175518036,0.5854003429412842,0.7352191209793091,0.46823063492774963,0.6093664169311523,0.6167763471603394,0.3215446472167969,0.6322146058082581,2.996063232421875,0.7523730390357534,0.09958833456039429,3.592986997788843e-05,0.9999999145005,6.812017515165109,0.5385298069743025,False,False
1,0.6323146224021912,0.4373883306980133,0.2874038815498352,0.5152526497840881,0.7328751683235168,0.388354629278183,0.4184750020503998,0.6953677535057068,0.46507516503334045,0.404378205537796,0.4495076537132263,0.5090163350105286,0.2961939871311188,0.4284147024154663,0.7422744631767273,0.4462687075138092,0.7275676131248474,0.4022621214389801,0.39930275082588196,0.4253444969654083,0.2763300836086273,0.3492807149887085,0.650950014591217,0.31231215596199036,0.585261881351471,0.7350806593894958,0.4680921733379364,0.6092279553413391,0.6166378855705261,0.32140618562698364,0.6323146224021912,2.9937491416931152,0.7523822750413884,0.09994161874055862,3.826612156383765e-05,0.9999999559050615,6.78826438016542,0.5386784400441764,False,False
2,0.632413387298584,0.4372498393058777,0.2872653901576996,0.5151141285896301,0.7327366471290588,0.38821613788604736,0.41833651065826416,0.6952292323112488,0.46493667364120483,0.4042397141456604,0.4493691623210907,0.5088778138160706,0.29605549573898315,0.4282762110233307,0.7421359419822693,0.4461302161216736,0.7274290919303894,0.4021236300468445,0.39916425943374634,0.4252060055732727,0.2761915922164917,0.3491422235965729,0.650811493396759,0.31217366456985474,0.5851233601570129,0.7349421381950378,0.4679536819458008,0.6090894341468811,0.6164993643760681,0.321267694234848,0.632413387298584,2.991456985473633,0.7523962741701532,0.10029354691505432,4.050947609213553e-05,1.000000042275844,6.764758953927478,0.5388266578530376,False,False
3,0.6325109004974365,0.4371112883090973,0.2871268391609192,0.5149756073951721,0.7325981259346008,0.38807758688926697,0.41819795966148376,0.6950907111167908,0.46479812264442444,0.40410116314888,0.4492306113243103,0.5087392926216125,0.29591694474220276,0.4281376600265503,0.7419974207878113,0.4459916651248932,0.7272905707359314,0.4019850790500641,0.39902570843696594,0.4250674545764923,0.2760530412197113,0.3490036725997925,0.650672972202301,0.31203511357307434,0.5849848389625549,0.7348036170005798,0.4678151309490204,0.6089509129524231,0.6163608431816101,0.3211291432380676,0.6325109004974365,2.9891839027404785,0.7524141770753631,0.10064473003149033,4.282063194443966e-05,1.000000083738119,6.741459288699895,0.53897450570762,False,False
4,0.6326072216033936,0.4369727075099945,0.2869882583618164,0.5148370265960693,0.732459545135498,0.3879390060901642,0.418059378862381,0.694952130317688,0.46465954184532166,0.4039625823497772,0.4490920305252075,0.5086007118225098,0.2957783639431,0.4279990792274475,0.7418588399887085,0.4458530843257904,0.7271519899368286,0.4018464982509613,0.39888712763786316,0.4249288737773895,0.2759144604206085,0.3488650918006897,0.6505343914031982,0.31189653277397156,0.5848462581634521,0.734665036201477,0.4676765501499176,0.6088123321533203,0.6162222623825073,0.32099056243896484,0.6326072216033936,2.9869306087493896,0.7524361238625494,0.10099460184574127,4.499896467057335e-05,1.0000001009263768,6.7183965722607875,0.539121823022202,False,False
5,0.6327023506164551,0.43683409690856934,0.28684964776039124,0.5146984457969666,0.7323209643363953,0.387800395488739,0.4179207682609558,0.6948135495185852,0.4645209312438965,0.40382397174835205,0.44895341992378235,0.508462131023407,0.2956397533416748,0.42786046862602234,0.7417202591896057,0.44571447372436523,0.7270134091377258,0.40170788764953613,0.398748517036438,0.42479026317596436,0.27577584981918335,0.3487264811992645,0.6503958106040955,0.3117579221725464,0.5847076773643494,0.7345264554023743,0.46753793954849243,0.6086737513542175,0.6160836815834045,0.3208519518375397,0.6327023506164551,2.9846975803375244,0.7524623001415247,0.1013435423374176,4.7143713329974014e-05,0.9999999515289825,6.695547575852147,0.5392688943320029,False,False
6,0.6327963471412659,0.4366954565048218,0.2867110073566437,0.514559805393219,0.7321823239326477,0.38766175508499146,0.41778212785720825,0.6946749091148376,0.4643822908401489,0.4036853313446045,0.4488147795200348,0.5083234906196594,0.29550111293792725,0.4277218282222748,0.7415816187858582,0.4455758333206177,0.7268747687339783,0.4015692472457886,0.39860987663269043,0.4246516227722168,0.2756372094154358,0.34858784079551697,0.6502571702003479,0.31161928176879883,0.5845690369606018,0.7343878149986267,0.4673992991447449,0.60853511095047,0.615945041179657,0.3207133114337921,0.6327963471412659,2.982483148574829,0.7524923123239161,0.10169143229722977,4.963978084899911e-05,1.0000000032642011,6.672915318566757,0.5394157779421294,False,False
7,0.6328892111778259,0.43655678629875183,0.28657233715057373,0.5144211649894714,0.7320436835289001,0.3875230848789215,0.4176434576511383,0.6945362687110901,0.464243620634079,0.40354666113853455,0.44867610931396484,0.5081848502159119,0.2953624427318573,0.42758315801620483,0.7414429783821106,0.44543716311454773,0.7267361283302307,0.40143057703971863,0.3984712064266205,0.42451295256614685,0.27549853920936584,0.348449170589447,0.6501185297966003,0.3114806115627289,0.5844303965568542,0.7342491745948792,0.4672606289386749,0.6083964705467224,0.6158064007759094,0.32057464122772217,0.6328892111778259,2.980286121368408,0.7525260302645027,0.10203848779201508,5.2140607794480685e-05,0.9999999526505228,6.650482170491084,0.5395622967544099,False,False
8,0.6329809427261353,0.4364180862903595,0.2864336371421814,0.5142824649810791,0.7319049835205078,0.3873843848705292,0.41750475764274597,0.6943975687026978,0.46410492062568665,0.4034079611301422,0.4485374093055725,0.5080461502075195,0.29522374272346497,0.4274444580078125,0.7413042783737183,0.4452984631061554,0.7265974283218384,0.4012918770313263,0.39833250641822815,0.4243742525577545,0.2753598392009735,0.3483104705810547,0.649979829788208,0.31134191155433655,0.5842916965484619,0.7341104745864868,0.4671219289302826,0.6082577705383301,0.6156677007675171,0.32043594121932983,0.6329809427261353,2.9781086444854736,0.7525633291715056,0.10238437354564667,5.4386168712192746e-05,0.9999999653205841,6.628268724808732,0.5397083918122787,False,False
9,0.6330715417861938,0.4362793564796448,0.2862949073314667,0.514143705368042,0.7317662239074707,0.38724565505981445,0.41736602783203125,0.6942588090896606,0.4639661908149719,0.4032692313194275,0.4483986794948578,0.5079073905944824,0.29508501291275024,0.4273057281970978,0.7411655187606812,0.4451597332954407,0.7264586687088013,0.4011531472206116,0.3981937766075134,0.4242355227470398,0.2752211093902588,0.34817174077033997,0.6498410701751709,0.3112031817436218,0.5841529369354248,0.7339717149734497,0.46698319911956787,0.608119010925293,0.61552894115448,0.3202972114086151,0.6330715417861938,2.9759480953216553,0.7525936465752389,0.10272897034883499,4.683081132383858e-05,1.0000000266022693,6.606188639570122,0.5398466988481154,False,False
10,0.6331610679626465,0.43614059686660767,0.28615614771842957,0.5140049457550049,0.7316274642944336,0.38710689544677734,0.41722726821899414,0.6941200494766235,0.4638274312019348,0.4031304717063904,0.4482599198818207,0.5077686309814453,0.29494625329971313,0.42716696858406067,0.741026759147644,0.44502097368240356,0.7263199090957642,0.40101438760757446,0.3980550169944763,0.4240967631340027,0.2750823497772217,0.34803298115730286,0.6497023105621338,0.3110644221305847,0.5840141773223877,0.7338329553604126,0.46684443950653076,0.6079802513122559,0.6153901815414429,0.320158451795578,0.6331610679626465,2.9738056659698486,0.7526351374162854,0.10307273268699646,4.681517657290162e-05,0.999999954699562,6.58436949559628,0.5399902876642488,False,False
11,0.6332495212554932,0.43600180745124817,0.28601735830307007,0.513866126537323,0.7314886450767517,0.38696810603141785,0.41708847880363464,0.6939812302589417,0.4636886417865753,0.4029916822910309,0.4481211304664612,0.5076298117637634,0.29480746388435364,0.42702817916870117,0.7408879399299622,0.44488218426704407,0.7261810898780823,0.40087559819221497,0.3979162275791168,0.4239579737186432,0.2749435603618622,0.34789419174194336,0.6495634913444519,0.3109256327152252,0.5838753581047058,0.7336941361427307,0.46670565009117126,0.607841432094574,0.615251362323761,0.3200196623802185,0.6332495212554932,2.9716804027557373,0.7526793239751254,0.10341504216194153,4.619519879777771e-05,1.0000001204564075,6.562772338344159,0.5401330120788204,False,False
12,0.6333369016647339,0.4358629882335663,0.2858785390853882,0.5137273073196411,0.7313498258590698,0.38682928681373596,0.41694965958595276,0.6938424110412598,0.46354982256889343,0.402852863073349,0.4479823112487793,0.5074909925460815,0.29466864466667175,0.4268893599510193,0.7407491207122803,0.4447433650493622,0.7260422706604004,0.4007367789745331,0.39777740836143494,0.4238191545009613,0.2748047411441803,0.3477553725242615,0.64942467212677,0.31078681349754333,0.5837365388870239,0.7335553169250488,0.4665668308734894,0.6077026128768921,0.6151125431060791,0.3198808431625366,0.6333369016647339,2.969571352005005,0.7527262355171358,0.10375659912824631,4.5467521207914546e-05,1.0000000378321727,6.541357545674498,0.540275328614945,False,False
13,0.6334232091903687,0.435724139213562,0.2857396900653839,0.5135884284973145,0.7312109470367432,0.3866904377937317,0.4168108105659485,0.6937035322189331,0.46341097354888916,0.4027140140533447,0.447843462228775,0.5073521137237549,0.2945297956466675,0.426750510931015,0.7406102418899536,0.4446045160293579,0.7259033918380737,0.4005979299545288,0.39763855934143066,0.42368030548095703,0.274665892124176,0.3476165235042572,0.6492857933044434,0.31064796447753906,0.5835976600646973,0.7334164381027222,0.4664279818534851,0.6075637340545654,0.6149736642837524,0.31974199414253235,0.6334232091903687,2.967480421066284,0.752776017575566,0.10409659147262573,4.479089299224904e-05,0.9999999069350238,6.520173242501866,0.5404170038510964,False,False
14,0.6335085034370422,0.43558526039123535,0.28560081124305725,0.5134495496749878,0.7310720682144165,0.38655155897140503,0.4166719317436218,0.6935646533966064,0.4632720947265625,0.40257513523101807,0.44770458340644836,0.5072132349014282,0.2943909168243408,0.42661163210868835,0.740471363067627,0.44446563720703125,0.7257645130157471,0.40045905113220215,0.397499680519104,0.42354142665863037,0.27452701330184937,0.34747764468193054,0.6491469144821167,0.3105090856552124,0.5834587812423706,0.7332775592803955,0.46628910303115845,0.6074248552322388,0.6148347854614258,0.3196031153202057,0.6335085034370422,2.9654042720794678,0.7528286647312056,0.10443561524152756,4.402401725106702e-05,1.000000128168504,6.499175810800361,0.5405584269913577,False,False
15,0.6335927844047546,0.4354463517665863,0.2854619026184082,0.5133106112480164,0.7309331297874451,0.386412650346756,0.4165330231189728,0.693425714969635,0.46313318610191345,0.402436226606369,0.4475656747817993,0.5070742964744568,0.2942520081996918,0.4264727234840393,0.7403324246406555,0.4443267285823822,0.7256255745887756,0.4003201425075531,0.39736077189445496,0.4234025180339813,0.2743881046772003,0.3473387360572815,0.6490079760551453,0.31037017703056335,0.5833198428153992,0.7331386208534241,0.4661501944065094,0.6072859168052673,0.6146958470344543,0.31946420669555664,0.6335927844047546,2.963343620300293,0.7528836781649109,0.10477343946695328,4.3155198063558694e-05,0.9999999432884187,6.478382099709031,0.5406992460785883,False,False
16,0.6336761116981506,0.43530741333961487,0.28532296419143677,0.5131716728210449,0.7307941913604736,0.38627371191978455,0.41639408469200134,0.6932867765426636,0.462994247674942,0.4022972881793976,0.4474267363548279,0.5069353580474854,0.29411306977272034,0.42633378505706787,0.7401934862136841,0.44418779015541077,0.7254866361618042,0.40018120408058167,0.3972218334674835,0.4232635796070099,0.2742491662502289,0.34719979763031006,0.6488690376281738,0.3102312386035919,0.5831809043884277,0.7329996824264526,0.46601125597953796,0.6071469783782959,0.6145569086074829,0.3193252682685852,0.6336761116981506,2.961299419403076,0.7529412782508477,0.10511046648025513,4.224814796916274e-05,0.9999999266721294,6.457763595798447,0.5408397366774886,False,False
17,0.6337584257125854,0.43516844511032104,0.28518399596214294,0.5130326747894287,0.7306551933288574,0.3861347436904907,0.4162551164627075,0.6931477785110474,0.4628552794456482,0.40215831995010376,0.44728776812553406,0.5067963600158691,0.2939741015434265,0.42619481682777405,0.7400544881820679,0.44404882192611694,0.725347638130188,0.40004223585128784,0.3970828652381897,0.42312461137771606,0.27411019802093506,0.34706082940101624,0.6487300395965576,0.3100922703742981,0.5830419063568115,0.7328606843948364,0.46587228775024414,0.6070079803466797,0.6144179105758667,0.3191863000392914,0.6337584257125854,2.9592700004577637,0.7530016661375969,0.10544610023498535,4.130968438164868e-05,1.000000096438532,6.437352592265022,0.5409797803619718,False,False
18,0.6338397860527039,0.43502944707870483,0.28504499793052673,0.5128936767578125,0.7305161952972412,0.3859957456588745,0.4161161184310913,0.6930087804794312,0.462716281414032,0.40201932191848755,0.44714877009391785,0.5066573619842529,0.2938351035118103,0.42605581879615784,0.7399154901504517,0.44390982389450073,0.7252086400985718,0.39990323781967163,0.3969438672065735,0.42298561334609985,0.27397119998931885,0.3469218313694,0.6485910415649414,0.3099532723426819,0.5829029083251953,0.7327216863632202,0.46573328971862793,0.6068689823150635,0.6142789125442505,0.31904730200767517,0.6338397860527039,2.9572558403015137,0.7530639393492157,0.10578054934740067,4.0212266967037155e-05,1.0000001307823823,6.417136393439446,0.5411192190637331,False,False
19,0.6339201927185059,0.43489041924476624,0.28490597009658813,0.5127546191215515,0.7303771376609802,0.3858567178249359,0.4159770905971527,0.6928697228431702,0.4625772535800934,0.40188029408454895,0.44700974225997925,0.5065183043479919,0.2936960756778717,0.42591679096221924,0.7397764325141907,0.44377079606056213,0.7250695824623108,0.39976420998573303,0.3968048393726349,0.42284658551216125,0.27383217215538025,0.3467828035354614,0.6484519839286804,0.3098142445087433,0.5827638506889343,0.7325826287269592,0.46559426188468933,0.6067299246788025,0.6141398549079895,0.3189082741737366,0.6339201927185059,2.9552557468414307,0.7531283938931459,0.10611371695995331,3.9064725844702537e-05,0.9999999740804224,6.397115987955326,0.5412581307585644,False,False
