iterations,first loss function,second loss function,third loss function,norm of d,measure of Pareto stationarity
0,0.7048921585083008,0.07832165062427521,0.07926766574382782,0.9999999403953552,0.04612748697400093
1,0.7030062079429626,0.07809312641620636,0.07902799546718597,1.0,0.04622231423854828
2,0.7011330723762512,0.07786412537097931,0.07878782600164413,1.0,0.04631761461496353
3,0.6992724537849426,0.07763465493917465,0.07854708284139633,0.9999999403953552,0.04641695320606232
4,0.6974244713783264,0.07740470767021179,0.07830580323934555,1.0,0.04652129113674164
5,0.6955888867378235,0.07717423886060715,0.07806398719549179,1.0,0.046623487025499344
6,0.6937655806541443,0.07694326341152191,0.07782157510519028,1.0,0.046734072268009186
7,0.691954493522644,0.0767117589712143,0.0775785893201828,1.0,0.04684526100754738
8,0.6901554465293884,0.0764797180891037,0.07733500748872757,1.0,0.04695864021778107
9,0.6883683800697327,0.07624710351228714,0.07709082216024399,1.0,0.04707204923033714
10,0.6865932941436768,0.0760139599442482,0.07684596627950668,1.0,0.047190967947244644
11,0.6848299503326416,0.07578020542860031,0.07660046964883804,1.0,0.047313082963228226
12,0.6830784678459167,0.07554587721824646,0.07635434716939926,1.0,0.04743707925081253
13,0.6813387870788574,0.07531093806028366,0.07610756158828735,1.0000001192092896,0.047563642263412476
14,0.6796106100082397,0.07507538795471191,0.07586006820201874,1.0,0.047694746404886246
15,0.6778939962387085,0.07483920454978943,0.07561186701059341,1.0,0.0478246733546257
16,0.6761889457702637,0.0746023878455162,0.07536301761865616,0.9999999403953552,0.04795917868614197
17,0.6744951009750366,0.07436493039131165,0.07511342316865921,1.0,0.04809490591287613
18,0.6728127002716064,0.07412680983543396,0.07486308366060257,1.0,0.048237018287181854
19,0.671141505241394,0.07388799637556076,0.07461202889680862,1.0,0.0483800433576107
20,0.6694815158843994,0.07364850491285324,0.07436021417379379,1.0,0.048521995544433594
21,0.667832612991333,0.07340831309556961,0.07410762459039688,1.0000001192092896,0.04866799712181091
22,0.6661947965621948,0.07316743582487106,0.07385425269603729,1.0,0.04881564527750015
23,0.6645679473876953,0.07292582094669342,0.07360006123781204,0.9999999403953552,0.04897068068385124
24,0.662952184677124,0.07268348336219788,0.07334509491920471,0.9999998807907104,0.04912218078970909
25,0.6613472104072571,0.07244042307138443,0.07308929413557053,1.0,0.04928092285990715
26,0.6597532629966736,0.0721965879201889,0.07283270359039307,1.0,0.049441661685705185
27,0.658170223236084,0.0719519853591919,0.07257524877786636,1.0,0.04960448667407036
28,0.6565981507301331,0.0717066079378128,0.07231689989566803,1.0,0.04976929724216461
29,0.6550368666648865,0.07146044820547104,0.07205766439437866,0.9999999403953552,0.0499352291226387
30,0.6534863710403442,0.071213498711586,0.07179758697748184,1.0,0.05010051280260086
31,0.6519467234611511,0.07096574455499649,0.0715365931391716,1.0,0.050272926688194275
32,0.6504178643226624,0.07071717828512192,0.07127468287944794,0.9999999403953552,0.05044591799378395
33,0.6488999128341675,0.07046780735254288,0.07101184874773026,0.9999999403953552,0.050619885325431824
34,0.647392749786377,0.07021757960319519,0.07074811309576035,1.0,0.050799064338207245
35,0.645896315574646,0.06996651738882065,0.07048346102237701,1.0,0.050980668514966965
36,0.6444107890129089,0.06971459090709686,0.0702177956700325,1.0,0.051165010780096054
37,0.6429360508918762,0.06946179270744324,0.06995120644569397,1.0,0.051347337663173676
38,0.6414721608161926,0.06920814514160156,0.06968362629413605,1.0,0.05152866989374161
39,0.6400191187858582,0.06895363330841064,0.06941503286361694,1.0,0.05171823874115944
40,0.638576865196228,0.0686982274055481,0.06914545595645905,1.0,0.051909107714891434
41,0.6371455192565918,0.06844191253185272,0.06887488067150116,1.0,0.052104998379945755
42,0.6357249617576599,0.06818470358848572,0.0686032772064209,0.9999999403953552,0.05229878053069115
43,0.6343153715133667,0.0679265707731247,0.06833066791296005,1.0,0.05249425768852234
44,0.6329166293144226,0.06766751408576965,0.06805703788995743,1.0,0.05269332975149155
45,0.6315287351608276,0.06740752607584,0.06778234243392944,1.0,0.05289509519934654
46,0.6301519870758057,0.06714660674333572,0.06750662624835968,1.0,0.05309809371829033
47,0.6287861466407776,0.06688474118709564,0.06722981482744217,1.0,0.053300127387046814
48,0.6274314522743225,0.06662195175886154,0.06695199012756348,1.0,0.05350397154688835
49,0.6260877847671509,0.06635820120573044,0.06667310744524002,0.9999999403953552,0.05371169000864029
50,0.6247552633285522,0.06609348952770233,0.06639312952756882,1.0,0.05391768366098404
51,0.6234341263771057,0.06582783907651901,0.06611206382513046,1.0,0.05412702262401581
52,0.6221240162849426,0.0655612125992775,0.06582994759082794,1.0,0.054338254034519196
53,0.6208252906799316,0.06529362499713898,0.06554671376943588,0.9999999403953552,0.054551366716623306
54,0.6195379495620728,0.06502506136894226,0.06526236981153488,1.0,0.054764747619628906
55,0.618261992931366,0.06475550681352615,0.06497694551944733,1.0,0.05497758463025093
56,0.6169975399971008,0.06448499858379364,0.06469041854143143,1.0,0.05519276484847069
57,0.6157445311546326,0.06421352177858353,0.06440278887748718,1.0,0.05540832504630089
58,0.6145032048225403,0.06394106894731522,0.064114049077034,1.0,0.055624283850193024
59,0.6132735013961792,0.0636676475405693,0.06382420659065247,1.0,0.05584375187754631
60,0.6120554804801941,0.0633932426571846,0.0635332465171814,0.9999999403953552,0.05606192350387573
61,0.6108493804931641,0.06311783939599991,0.06324119865894318,1.0,0.05628253147006035
62,0.6096551418304443,0.06284147500991821,0.06294802576303482,1.0,0.056501876562833786
63,0.6084727048873901,0.06256414204835892,0.06265375018119812,1.0,0.056721191853284836
64,0.6073023676872253,0.062285833060741425,0.06235832720994949,1.0,0.05694269388914108
65,0.6061441898345947,0.06200655549764633,0.06206177920103073,1.0,0.057165369391441345
66,0.6049981117248535,0.06172630563378334,0.061764128506183624,1.0,0.057385221123695374
67,0.6038644313812256,0.061445094645023346,0.06146535277366638,1.0,0.05760684609413147
68,0.6027430891990662,0.06116292625665665,0.061165470629930496,1.0,0.05783166363835335
69,0.60163414478302,0.06087980791926384,0.06086450070142746,1.0,0.05805458873510361
70,0.600537896156311,0.060595735907554626,0.06056241691112518,1.0,0.05827705189585686
71,0.5994542241096497,0.060310713946819305,0.06025923043489456,1.0,0.058499108999967575
72,0.5983833074569702,0.06002477556467056,0.059954963624477386,1.0,0.05872034281492233
73,0.5973252058029175,0.0597379170358181,0.059649623930454254,0.9999999403953552,0.05893965810537338
74,0.5962799787521362,0.05945014953613281,0.05934318155050278,1.0,0.05916000157594681
75,0.5952476859092712,0.059161487966775894,0.059035658836364746,0.9999999403953552,0.059379011392593384
76,0.5942285060882568,0.058871954679489136,0.05872706323862076,1.0,0.05959700420498848
77,0.5932224988937378,0.05858153849840164,0.05841740220785141,0.9999999403953552,0.05981477349996567
78,0.5922297835350037,0.0582902692258358,0.05810672789812088,1.0,0.06003361940383911
79,0.591250479221344,0.05799814313650131,0.05779499560594559,1.0,0.06024987995624542
80,0.5902847051620483,0.057705193758010864,0.057482294738292694,1.0,0.06046595051884651
81,0.5893324613571167,0.057411424815654755,0.05716858431696892,1.0,0.06067981198430061
82,0.5883938670158386,0.05711686238646507,0.05685390159487724,1.0,0.06089608743786812
83,0.5874690413475037,0.05682150647044182,0.056538280099630356,1.0,0.061109889298677444
84,0.5865580439567566,0.05652540177106857,0.05622173473238945,0.9999999403953552,0.06132129207253456
85,0.5856608748435974,0.05622856318950653,0.05590423569083214,1.0,0.061530813574790955
86,0.5847777724266052,0.05593102052807808,0.05558581277728081,0.9999999403953552,0.061736904084682465
87,0.58390873670578,0.05563277006149292,0.055266473442316055,1.0,0.06194595992565155
88,0.5830538272857666,0.05533387139439583,0.05494629591703415,1.0,0.062155261635780334
89,0.5822131037712097,0.0550343282520771,0.05462528020143509,1.0,0.06235664337873459
90,0.5813866853713989,0.05473418906331062,0.05430346727371216,1.0,0.06255534291267395
91,0.5805745124816895,0.05443350598216057,0.05398087948560715,0.9999999403953552,0.06275233626365662
92,0.5797767639160156,0.054132286459207535,0.053657565265893936,1.0,0.06295103579759598
93,0.5789936184883118,0.053830586373806,0.053333550691604614,1.0,0.06314146518707275
94,0.5782248377799988,0.05352843925356865,0.05300891026854515,1.0,0.06333477050065994
95,0.5774706602096558,0.05322587490081787,0.05268363282084465,1.0000001192092896,0.06352156400680542
96,0.5767312049865723,0.05292296037077904,0.05235778167843819,1.0,0.06370373070240021
97,0.576006293296814,0.05261974409222603,0.052031390368938446,1.0,0.0638832300901413
98,0.5752959847450256,0.05231628194451332,0.0517045333981514,0.9999998807907104,0.06406357139348984
99,0.5746003985404968,0.0520126074552536,0.05137726292014122,1.0,0.06424024701118469
100,0.5739192962646484,0.051708802580833435,0.05104962736368179,1.0,0.06441094726324081
101,0.57325279712677,0.051404919475317,0.05072170868515968,0.9999999403953552,0.06457898765802383
102,0.5726010203361511,0.05110102519392967,0.05039353296160698,1.0000001192092896,0.06474316120147705
103,0.5719637870788574,0.05079719051718712,0.050065211951732635,1.0,0.06490457057952881
104,0.5713410377502441,0.05049348995089531,0.04973677545785904,0.9999999403953552,0.06506162881851196
105,0.5707326531410217,0.050189994275569916,0.04940832778811455,1.0,0.06521547585725784
106,0.5701387524604797,0.049886804074048996,0.04907995089888573,1.0,0.06536629050970078
107,0.5695590376853943,0.04958399757742882,0.048751767724752426,1.0,0.06550859659910202
108,0.5689935684204102,0.049281682819128036,0.04842383787035942,1.0,0.06564905494451523
109,0.5684420466423035,0.04897995665669441,0.048096247017383575,0.9999999403953552,0.06578407436609268
110,0.5679044127464294,0.0486789271235466,0.04776909202337265,0.9999999403953552,0.0658886507153511
111,0.5673805475234985,0.04837869107723236,0.04744246229529381,0.9999999403953552,0.06592030823230743
112,0.5668702721595764,0.04807938635349274,0.04711652919650078,1.0,0.06587549299001694
113,0.5663732886314392,0.04778113588690758,0.04679136350750923,0.9999999403953552,0.06575478613376617
114,0.5658894777297974,0.04748407378792763,0.0464671365916729,1.0,0.06555911898612976
115,0.5654184818267822,0.047188326716423035,0.04614390805363655,1.0,0.06529147177934647
